City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,new norfolk,-42.7826,147.0587,11.51,72,0,0.29,AU,1681386997
84,hobyo,5.3505,48.5268,29.92,64,99,4.63,SO,1681386997
85,alyangula,-13.8483,136.4192,28.27,74,28,5.15,AU,1681386997
86,narsaq,60.9167,-46.05,1.12,75,100,1.01,GL,1681386998
87,caravelas,-17.7125,-39.2481,25.46,89,69,2.06,BR,1681386998
88,hithadhoo,-0.6,73.0833,28.78,69,15,2.04,MV,1681386998
89,carnarvon,-24.8667,113.6333,22.57,65,6,10.61,AU,1681386998
90,hobart,-42.8794,147.3294,11.7,94,20,0.0,AU,1681386716
91,tazovskiy,67.4667,78.7,-16.26,89,100,6.23,RU,1681386999
92,kavieng,-2.5744,150.7967,28.37,77,96,5.43,PG,1681386999
93,barrow,71.2906,-156.7887,-22.99,84,20,3.09,US,1681386999
94,fomboni,-12.28,43.7425,28.47,70,37,3.29,KM,1681386999
95,ferrol,43.4832,-8.2369,14.26,72,79,7.59,ES,1681386999
96,port lincoln,-34.7333,135.8667,16.02,70,0,5.6,AU,1681386999
97,ubinskoye,55.3068,79.6802,5.53,78,85,3.75,RU,1681386999
98,richards bay,-28.783,32.0377,26.92,53,15,2.86,ZA,1681387000
99,faanui,-16.4833,-151.75,27.78,70,8,5.97,PF,1681387000
100,liberal,37.0431,-100.921,13.08,54,0,7.2,US,1681386932
101,salalah,17.0151,54.0924,31.05,66,20,5.14,OM,1681386886
102,tala,30.6803,30.9429,25.36,27,0,6.53,EG,1681387000
103,chuy,-33.6971,-53.4616,15.07,69,94,3.4,UY,1681386846
104,yellowknife,62.456,-114.3525,-9.71,92,0,2.57,CA,1681387000
105,tuatapere,-46.1333,167.6833,10.78,91,65,1.81,NZ,1681387001
106,octeville,49.6261,-1.6435,9.27,66,75,6.17,FR,1681387001
107,dingle,10.9995,122.6711,25.9,82,84,0.59,PH,1681387001
108,jamestown,42.097,-79.2353,18.77,72,0,5.14,US,1681387001
109,pevek,69.7008,170.3133,-17.88,97,99,0.24,RU,1681387001
110,chapais,49.7834,-74.8492,-4.12,94,69,2.77,CA,1681387001
111,talnakh,69.4865,88.3972,-23.22,95,100,2.83,RU,1681387002
112,khatanga,71.9667,102.5,-19.52,86,66,3.3,RU,1681387002
113,bredasdorp,-34.5322,20.0403,22.08,45,34,7.88,ZA,1681387002
114,kaitangata,-46.2817,169.8464,11.64,87,98,4.74,NZ,1681387002
115,camacupa,-12.0167,17.4833,20.93,79,100,1.59,AO,1681387002
116,pouebo,-20.4,164.5667,24.57,87,80,1.02,NC,1681387002
117,guaraniacu,-25.1008,-52.8781,20.65,71,1,1.44,BR,1681387002
118,marawi,7.9986,124.2928,21.51,96,41,0.35,PH,1681387003
119,wabash,40.7978,-85.8205,12.51,77,16,3.25,US,1681387003
120,saint george,37.1041,-113.5841,19.03,34,0,3.6,US,1681386933
